age,sex,juv_misd_count,juv_fel_count,priors_count,c_charge_degree,c_charge_desc,is_recid
63,Male,0,0,0,(M1),Battery,0
27,Male,0,0,2,(F3),Possession of Cocaine,0
55,Male,0,0,0,(F3),arrest case no charge,0
32,Male,0,0,15,(F3),Felony Petit Theft,0
38,Male,0,0,5,(F3),Burglary Structure Assault/Batt,0
53,Male,0,0,19,(F3),Fel Drive License Perm Revoke,0
49,Male,0,0,7,(F3),Agg Fleeing and Eluding,1
26,Male,0,0,6,(M2),Operating W/O Valid License,0
33,Female,0,0,4,(M1),Battery,1
24,Male,0,0,1,(M1),Battery,1
34,Male,1,2,21,(F2),Poss Wep Conv Felon,1
29,Male,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0
21,Female,0,0,2,(F2),arrest case no charge,0
51,Male,0,0,2,(M1),Unlaw Use False Name/Identity,0
29,Male,0,0,2,(M1),Viol Injunct Domestic Violence,1
25,Male,0,0,0,(F2),Burglary Unoccupied Dwelling,0
51,Female,0,0,7,(F3),Possession of Cocaine,0
28,Male,0,0,8,(F3),Possession of Cocaine,0
36,Male,0,0,22,(M1),Burglary Dwelling Occupied,0
29,Male,0,0,0,(F3),Defrauding Innkeeper $300/More,1
29,Male,0,0,0,(M1),Battery,0
25,Male,0,0,9,(M1),Battery,1
35,Male,0,1,13,(F3),Uttering a Forged Instrument,1
49,Male,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0
34,Male,0,0,4,(M2),Driving License Suspended,1
29,Male,0,0,0,(F3),Tampering With Physical Evidence,0
29,Male,0,0,1,(F3),Possession of Oxycodone,1
28,Female,0,0,0,(F3),Grand Theft in the 3rd Degree,0
51,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,0
25,Male,0,0,0,(F3),Possession of Cocaine,0
48,Male,0,0,20,(F3),arrest case no charge,1
33,Male,0,0,1,(F3),Grand Theft Dwell Property,0
63,Female,0,0,1,(F1),arrest case no charge,0
30,Male,0,0,3,(F3),Possession of Cocaine,0
31,Male,0,0,15,(F2),Attempt Armed Burglary Dwell,1
24,Male,0,0,2,(F3),Poss Tetrahydrocannabinols,1
27,Male,0,0,0,(F3),Felony Driving While Lic Suspd,0
32,Male,0,0,3,(F3),Tampering With Physical Evidence,0
30,Male,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0
49,Male,0,0,4,(M1),Battery,0
53,Male,0,0,8,(F3),arrest case no charge,0
31,Female,0,0,0,(M1),Battery,0
35,Male,0,0,5,(F3),Driving While License Revoked,0
63,Male,0,0,10,(M1),Possess Drug Paraphernalia,1
33,Male,0,0,2,(F2),Agg Battery Grt/Bod/Harm,0
27,Male,1,1,15,(F3),Driving While License Revoked,1
38,Male,0,0,4,(M1),Battery,1
46,Male,1,3,9,(F3),Grand Theft in the 3rd Degree,0
22,Male,0,0,1,(F3),Poss Firearm W/Altered ID#,1
34,Female,0,0,0,(M1),Battery,0
22,Male,1,0,2,(F3),Sell Conterfeit Cont Substance,1
29,Male,0,0,4,(F3),arrest case no charge,1
62,Male,0,0,0,(M2),Unlaw LicTag/Sticker Attach,0
27,Male,1,0,6,(F2),Aggravated Battery / Pregnant,1
33,Male,0,0,0,(M1),Battery,0
56,Female,0,0,0,(M1),Battery,0
45,Male,0,0,6,(F3),Possession of Cocaine,1
45,Male,0,0,6,(F3),Possession of Cocaine,1
22,Male,0,0,1,(F3),Burglary Structure Unoccup,0
31,Female,0,0,2,(F3),Felony Driving While Lic Suspd,0
34,Male,0,0,0,(F3),False Imprisonment,0
39,Male,0,0,1,(M1),arrest case no charge,0
24,Male,1,0,4,(M1),Battery,0
29,Male,0,0,5,(F3),False Name By Person Arrest,1
27,Male,0,0,1,(F3),arrest case no charge,1
24,Female,0,0,1,(M2),DUI Property Damage/Injury,0
40,Male,0,0,2,(F3),arrest case no charge,0
51,Male,0,0,1,(F3),arrest case no charge,0
22,Male,0,0,1,(M1),Battery,1
22,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,0
26,Female,0,0,1,(F2),Poss Cocaine/Intent To Del/Sel,1
27,Male,0,0,1,(F7),Burglary Dwelling Assault/Batt,1
59,Female,0,0,2,(F3),arrest case no charge,0
32,Male,0,0,3,(M1),Driving Under The Influence,0
32,Male,0,0,0,(F3),Felony Battery (Dom Strang),0
41,Male,0,0,1,(M2),arrest case no charge,0
50,Male,0,0,0,(M1),Battery,0
30,Male,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1
30,Male,0,0,8,(M1),Possess Cannabis/20 Grams Or Less,1
66,Male,0,0,0,(MO3),arrest case no charge,0
52,Male,0,0,3,(F3),Driving While License Revoked,0
22,Male,0,0,3,(F3),Burglary Conveyance Unoccup,0
50,Male,0,0,0,(F3),arrest case no charge,1
25,Male,6,1,14,(F2),arrest case no charge,1
25,Male,6,1,14,(F2),arrest case no charge,1
20,Male,0,0,0,(F3),Tampering With Physical Evidence,1
22,Male,0,1,2,(F3),Attempted Burg/struct/unocc,1
23,Male,0,0,2,(M2),arrest case no charge,1
54,Male,0,0,6,(F1),arrest case no charge,0
40,Male,0,0,4,(F3),arrest case no charge,0
25,Male,0,0,10,(F2),arrest case no charge,0
35,Female,0,0,1,(M2),arrest case no charge,0
36,Male,0,0,9,(F2),Deliver Cocaine,1
26,Male,0,0,7,(F3),Possession Burglary Tools,1
21,Male,0,0,1,(F3),Grand Theft in the 3rd Degree,1
30,Male,0,0,6,(F3),Burglary Conveyance Unoccup,0
25,Male,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,1
25,Male,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,1
71,Male,0,0,12,(M1),Possess Cannabis/20 Grams Or Less,0
34,Male,0,0,3,(M1),Battery,0
20,Female,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0
39,Male,0,0,2,(F3),Possession Of Alprazolam,1
66,Male,0,0,3,(F2),Flee/Elude LEO-Agg Flee Unsafe,0
54,Female,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0
44,Female,0,0,0,(M1),Battery,0
19,Male,0,0,1,(M2),Battery,1
24,Male,0,0,1,(F2),arrest case no charge,0
30,Male,0,0,1,(F3),Fail To Redeliv Hire/Leas Prop,0
39,Female,0,0,0,(F3),Aggravated Assault W/Dead Weap,1
32,Female,0,0,8,(M1),Battery,0
24,Male,1,0,8,(F3),False Ownership Info/Pawn Item,1
30,Male,0,0,0,(F3),Possession Of Methamphetamine,0
31,Male,0,0,0,(M1),Battery,0
39,Female,0,0,1,(F3),Possession of Morphine,0
59,Male,0,0,14,(F3),arrest case no charge,1
35,Male,0,0,7,(F3),Felony Driving While Lic Suspd,0
24,Female,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0
43,Male,0,0,1,(F3),Possession of Cocaine,0
21,Male,0,1,2,(F3),Tampering With Physical Evidence,0
21,Female,0,0,0,(M1),Battery,0
21,Male,0,0,3,(F3),Grand Theft in the 3rd Degree,1
27,Male,0,0,0,(F3),Driving While License Revoked,0
20,Male,0,0,0,(F3),arrest case no charge,0
38,Male,0,0,5,(M1),Possess Cannabis/20 Grams Or Less,1
27,Male,0,0,3,(F3),Robbery / No Weapon,0
34,Male,0,0,0,(F3),Aggravated Assault w/Firearm,0
30,Male,0,0,3,(F3),Possession of Cocaine,0
33,Male,0,0,5,(F3),Poss Contr Subst W/o Prescript,1
37,Male,0,0,3,(F3),"Poss3,4 Methylenedioxymethcath",0
42,Male,0,0,1,(F3),Aggrav Stalking After Injunctn,1
41,Male,1,0,10,(F3),Possession of Cocaine,1
22,Male,0,0,0,(F3),Uttering a Forged Instrument,1
33,Male,12,0,28,(F3),Driving While License Revoked,1
44,Male,0,0,0,(M2),Criminal Mischief Damage <$200,0
31,Male,0,0,1,(M1),Battery,0
26,Male,0,0,9,(F3),Felony Driving While Lic Suspd,0
30,Female,0,0,1,(F3),Crim Use of Personal ID Info,0
31,Male,0,0,13,(F3),arrest case no charge,1
27,Male,0,0,3,(F3),Possession of Cocaine,1
31,Female,0,0,1,(F3),Grand Theft (Motor Vehicle),0
47,Male,0,0,2,(F3),Grand Theft in the 3rd Degree,0
56,Male,0,0,8,(F3),arrest case no charge,0
33,Male,0,0,2,(MO3),Failure To Pay Taxi Cab Charge,0
52,Male,0,0,3,(M1),Battery,0
33,Male,0,0,19,(F3),arrest case no charge,1
61,Male,0,0,0,(F3),Obstruct Officer W/Violence,0
64,Female,0,0,2,(M1),Resist/Obstruct W/O Violence,0
22,Male,0,0,4,(F3),Possession Of Alprazolam,1
42,Male,0,0,6,(F3),Possession Of Alprazolam,0
25,Female,0,0,2,(F3),arrest case no charge,0
27,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,0
30,Male,0,0,1,(M2),Agg Fleeing and Eluding,0
28,Male,0,0,2,(F3),arrest case no charge,0
37,Female,0,0,2,(M2),Petit Theft,0
21,Male,0,0,1,(F3),Possession of Cannabis,0
28,Male,0,0,0,(M2),Disorderly Intoxication,1
24,Female,0,0,0,(M1),Battery,0
37,Male,0,0,13,(F3),arrest case no charge,0
22,Male,0,0,0,(F2),Burglary Unoccupied Dwelling,0
29,Female,1,0,10,(F3),Grand Theft in the 3rd Degree,1
25,Female,0,0,0,(F3),Uttering a Forged Instrument,0
44,Male,0,0,2,(M1),Battery,1
30,Female,0,0,4,(F3),Battery on Law Enforc Officer,1
32,Male,0,0,3,(F3),Possession of Cocaine,1
53,Male,0,0,1,(F3),Resist Officer w/Violence,0
34,Male,0,0,1,(M1),Battery,0
31,Male,0,0,2,(M1),Resist/Obstruct W/O Violence,1
27,Male,0,0,5,(F3),Possession of Cocaine,0
31,Male,0,0,1,(M2),Lewdness Violation,1
59,Male,0,0,1,(F3),Possession of Cocaine,1
28,Male,0,0,15,(F2),Poss of Firearm by Convic Felo,0
45,Female,0,0,4,(F3),arrest case no charge,0
23,Male,0,0,0,(M1),Driving Under The Influence,0
20,Female,0,1,1,(F3),arrest case no charge,0
42,Male,0,0,2,(F2),arrest case no charge,0
43,Female,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0
38,Male,1,1,9,(F3),Possession of Cocaine,1
32,Male,0,0,11,(F3),Poss Pyrrolidinovalerophenone,1
32,Male,0,0,11,(F3),Poss Pyrrolidinovalerophenone,1
33,Male,0,0,8,(M2),Assault,1
55,Male,0,0,4,(MO3),arrest case no charge,0
31,Female,0,0,0,(F3),Possession of Oxycodone,1
33,Female,0,0,7,(F3),Possession of Cocaine,1
27,Male,0,0,2,(F3),Tampering With Physical Evidence,1
52,Male,0,0,0,(M2),Assault,0
20,Female,0,0,0,(F3),Grand Theft in the 3rd Degree,0
26,Female,0,0,0,(M2),Fail To Obey Police Officer,0
25,Male,0,0,4,(M1),Burglary Dwelling Occupied,0
61,Female,0,0,1,(F3),Solicit Purchase Cocaine,1
52,Male,0,0,13,(F3),Felony Petit Theft,1
63,Male,0,0,1,(F3),arrest case no charge,0
32,Female,0,0,4,(F3),arrest case no charge,1
29,Male,0,0,1,(F3),Grand Theft in the 3rd Degree,0
46,Female,0,0,1,(F1),Grand Theft in the 1st Degree,0
26,Female,0,0,2,(M1),Driving Under The Influence,1
55,Male,0,0,3,(M1),Battery,0
39,Male,0,1,1,(X),,0
30,Female,0,0,3,(F3),Possession Of Carisoprodol,1
30,Male,0,0,1,(F7),Burglary Conveyance Assault/Bat,0
48,Male,0,0,2,(M1),Battery,0
33,Male,0,0,0,(M1),Felony Battery (Dom Strang),0
22,Male,0,0,1,(F3),arrest case no charge,0
46,Male,0,0,6,(F3),Driving While License Revoked,1
41,Male,0,0,5,(F3),Felony Petit Theft,0
49,Female,0,0,6,(F3),Crim Use of Personal ID Info,0
31,Male,0,0,0,(F3),"Deliver 3,4 Methylenediox",0
31,Male,0,0,0,(M1),Battery,0
25,Male,0,0,1,(M1),Battery,1
31,Male,0,0,3,(F7),Burglary Dwelling Armed,0
21,Female,0,0,0,(M1),Battery,0
23,Male,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0
32,Female,0,0,5,(F3),Aggravated Assault W/dead Weap,0
52,Male,0,0,2,(M2),Leave Acc/Attend Veh/More $50,0
62,Male,0,0,8,(F3),Possession of Cocaine,0
30,Male,0,0,2,(M1),Battery,0
37,Female,0,0,6,(F3),Possession of Cocaine,0
55,Male,0,0,1,(F3),Grand Theft in the 3rd Degree,0
31,Male,0,0,8,(F3),arrest case no charge,1
28,Male,0,0,6,(M1),Resist/Obstruct W/O Violence,1
54,Male,0,0,2,(F2),Burglary Unoccupied Dwelling,0
58,Male,0,0,0,(F3),Possession Of Heroin,0
78,Male,0,0,1,(M1),Driving Under The Influence,1
56,Male,0,0,0,(F3),Possession of Cocaine,0
21,Male,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,0
24,Male,0,0,0,(F2),Burglary Unoccupied Dwelling,0
38,Male,2,2,22,(F3),Child Abuse,1
39,Male,0,0,3,(MO3),Poss Of Controlled Substance,0
35,Male,0,0,0,(F3),Possession of Cocaine,0
22,Male,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,1
47,Male,0,0,23,(M1),Possess Cannabis/20 Grams Or Less,1
23,Male,0,0,0,(M1),Battery,1
57,Male,0,0,1,(F3),Driving While License Revoked,0
38,Female,0,0,2,(F3),Possession of Cocaine,1
66,Male,0,0,3,(F2),Agg Battery Grt/Bod/Harm,1
45,Male,0,0,8,(M1),Viol Injunct Domestic Violence,1
28,Female,0,0,0,(M1),Petit Theft $100- $300,0
45,Male,0,0,2,(F3),Unlaw Fail Secur Work Comp Ins,0
32,Male,0,0,13,(F2),Poss Cocaine/Intent To Del/Sel,1
37,Male,0,0,2,(M1),Battery,1
39,Male,0,0,0,(F3),Possession Of Methamphetamine,1
26,Male,0,0,9,(F2),Deliver Cocaine,1
25,Male,0,0,3,(F3),arrest case no charge,0
45,Male,0,0,2,(F3),Lewd or Lascivious Molestation,0
57,Female,0,0,7,(F3),Possession of Cocaine,0
23,Male,0,0,0,(F3),Possession of Cannabis,1
34,Male,0,0,2,(M1),Battery,1
38,Male,0,0,14,(F3),Possession of Oxycodone,0
23,Female,0,0,1,(M1),Battery,0
36,Male,0,0,2,(M1),Battery,1
50,Male,0,0,1,(F3),Sexual Performance by a Child,0
37,Female,0,0,0,(M2),Leaving Acc/Unattended Veh,0
44,Male,0,0,4,(M1),Battery,0
35,Female,1,0,23,(F3),Felony Petit Theft,1
31,Male,0,0,1,(F1),arrest case no charge,0
24,Male,0,0,5,(F3),arrest case no charge,1
40,Male,0,0,3,(F1),Robbery W/Firearm,0
26,Male,0,0,2,(F3),Fleeing Or Attmp Eluding A Leo,1
37,Male,0,0,1,(F3),Felony DUI (level 3),0
27,Male,0,0,0,(M1),Criminal Mischief,0
31,Female,0,0,1,(M1),Battery,0
28,Female,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0
43,Male,0,0,11,(F3),arrest case no charge,1
28,Female,0,0,7,(F3),Felony Petit Theft,1
38,Male,0,0,0,(F3),Driving While License Revoked,0
38,Male,0,0,2,(F3),Driving While License Revoked,0
27,Male,0,0,2,(M2),Trespass Struct/Conveyance,0
28,Female,0,0,1,(F1),arrest case no charge,0
21,Male,0,1,1,(F3),Grand Theft in the 3rd Degree,0
56,Male,0,0,7,(F3),Felony Driving While Lic Suspd,1
38,Male,0,0,15,(F3),Possession of Cocaine,0
28,Male,0,0,2,(M1),Possess Cannabis/20 Grams Or Less,0
45,Male,0,0,3,(F3),arrest case no charge,0
28,Male,0,0,0,(M1),DUI Property Damage/Injury,0
24,Female,0,0,1,(F3),arrest case no charge,0
61,Male,0,0,1,(F3),arrest case no charge,0
51,Female,0,0,0,(M1),Driving Under The Influence,1
51,Male,0,0,0,(M1),Battery,0
20,Male,0,0,0,(F3),Poss Similitude of Drivers Lic,0
36,Male,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,1
48,Male,0,0,0,(F3),Aggravated Battery (Firearm/Actual Possession),0
37,Male,0,0,4,(F3),arrest case no charge,1
30,Female,0,0,2,(F3),Grand Theft in the 3rd Degree,0
41,Female,0,0,5,(M1),Battery,0
27,Male,0,0,11,(F2),Robbery / No Weapon,1
37,Male,0,0,0,(M1),Battery,1
33,Male,0,0,4,(F3),Aggravated Assault w/Firearm,1
54,Male,0,0,11,(F3),Grand Theft (Motor Vehicle),0
23,Male,0,0,2,(F1),Robbery / Weapon,0
22,Male,0,0,0,(F3),arrest case no charge,0
26,Female,0,0,2,(F7),arrest case no charge,1
23,Female,2,0,3,(F3),Aggravated Assault W/Dead Weap,0
41,Male,0,0,0,(M1),Battery,0
52,Male,0,0,0,(F3),Burglary With Assault/battery,0
43,Male,0,0,13,(F3),Driving While License Revoked,1
52,Male,0,0,0,(F3),Uttering a Forged Instrument,0
28,Male,0,0,1,(F3),arrest case no charge,0
30,Male,0,0,11,(M1),Battery,1
30,Male,0,0,11,(M1),Battery,1
28,Male,0,0,1,(F3),Criminal Mischief,0
47,Male,0,0,1,(F2),arrest case no charge,0
34,Female,0,0,0,(M1),Battery,0
22,Male,0,0,0,(F3),Pos Cannabis W/Intent Sel/Del,0
30,Male,0,0,4,(F3),Driving While License Revoked,0
25,Male,0,0,4,(F3),Possession of Cannabis,0
31,Male,0,0,0,(F2),Burglary Unoccupied Dwelling,1
37,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,1
32,Male,1,0,14,(F2),Aggravated Battery / Pregnant,0
26,Male,1,0,4,(M1),Possess Cannabis/20 Grams Or Less,0
53,Male,0,0,1,(M1),Battery,0
28,Male,0,0,25,(F3),arrest case no charge,1
44,Male,0,0,8,(M1),Battery,1
25,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,0
30,Female,0,0,0,(M1),Battery,0
22,Male,0,0,1,(M1),Voyeurism,1
30,Female,0,1,2,(F2),arrest case no charge,0
20,Female,0,0,0,(F3),Grand Theft in the 3rd Degree,0
37,Female,0,0,0,(M1),Battery,0
33,Female,0,0,0,(F3),Poss Contr Subst W/o Prescript,0
47,Female,0,0,2,(F2),Deliver Cocaine,0
40,Female,0,0,3,(F3),Driving While License Revoked,0
24,Male,0,0,0,(M1),Battery,0
36,Male,0,0,8,(F3),Felony Driving While Lic Suspd,1
30,Male,0,0,4,(F3),False Imprisonment,0
22,Male,0,0,3,(M2),Prowling/Loitering,1
22,Male,0,0,3,(M2),Prowling/Loitering,1
24,Female,0,0,1,(M1),Battery,1
27,Male,0,0,3,(M1),Viol Prot Injunc Repeat Viol,1
31,Female,0,0,0,(M1),Battery,0
47,Male,0,0,0,(M1),Battery,0
23,Male,0,0,1,(F3),arrest case no charge,1
23,Female,0,0,5,(F2),arrest case no charge,1
24,Male,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0
29,Male,0,0,1,(M1),Battery,0
20,Male,0,0,1,(F3),Carrying Concealed Firearm,1
30,Male,0,0,2,(F3),Carrying Concealed Firearm,1
39,Male,0,0,1,(M1),Battery,0
38,Male,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,0
39,Male,0,0,0,(F2),Throw In Occupied Dwell,0
27,Male,0,0,4,(F3),arrest case no charge,0
18,Male,0,2,2,(F7),arrest case no charge,0
31,Male,0,0,2,(M1),arrest case no charge,1
37,Female,0,0,2,(F3),arrest case no charge,0
31,Male,0,0,0,(F3),Possession of Cannabis,0
27,Male,0,0,2,(F3),Possession of Cocaine,0
20,Male,0,0,0,(F3),Possession Burglary Tools,0
46,Male,0,1,5,(M1),Battery,0
22,Male,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0
52,Female,0,0,0,(F3),Burglary Conveyance Unoccup,0
23,Female,0,0,0,(F3),Carrying Concealed Firearm,1
20,Male,0,1,1,(F2),arrest case no charge,0
48,Female,0,0,0,(F3),Aggravated Assault W/Dead Weap,0
66,Male,0,0,8,(F2),Deliver Cocaine,1
25,Male,0,0,0,(F3),"Deliver 3,4 Methylenediox",0
27,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,1
30,Male,0,0,11,(F3),Unauth Poss ID Card or DL,1
22,Male,1,0,3,(M1),Battery,1
22,Female,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,0
35,Male,0,0,2,(F3),arrest case no charge,0
32,Male,0,0,2,(F3),arrest case no charge,0
41,Female,0,0,2,(M1),Battery on Law Enforc Officer,0
35,Male,0,0,9,(F3),Burglary Conveyance Unoccup,0
43,Male,0,0,0,(F2),Burglary Dwelling Occupied,0
25,Female,0,0,0,(F3),Aggravated Assault W/Dead Weap,0
44,Male,0,0,24,(M1),Opert With Susp DL 2nd Offens,0
52,Male,0,0,3,(F3),Possession of Cocaine,1
43,Male,0,0,0,(F3),Felony Battery (Dom Strang),0
37,Male,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0
47,Male,0,0,1,(M1),Battery,0
45,Female,0,0,3,(F3),arrest case no charge,0
23,Male,0,0,2,(F3),arrest case no charge,0
37,Male,0,0,3,(F3),arrest case no charge,0
28,Male,0,0,3,(M1),Possess Cannabis/20 Grams Or Less,1
70,Male,0,0,1,(M1),Battery,0
54,Male,0,0,6,(F3),Possession of Cocaine,1
58,Male,0,0,9,(M1),Battery,0
46,Male,0,0,3,(F3),arrest case no charge,0
21,Male,0,0,0,(M2),Petit Theft,1
26,Male,0,0,1,(M1),Battery,1
38,Male,0,0,3,(F3),Crim Use of Personal ID Info,1
34,Male,0,0,5,(M1),Battery,0
34,Female,0,0,0,(F3),Poss Unlaw Issue Id,0
19,Male,0,0,1,(F3),Grand Theft in the 3rd Degree,1
34,Male,0,0,5,(M2),Driving License Suspended,0
32,Female,0,0,3,(M1),Battery,0
23,Male,0,0,0,(F3),Aggravated Assault W/Dead Weap,1
34,Male,0,0,5,(F3),Possession of Oxycodone,1
30,Male,0,0,2,(F2),arrest case no charge,0
39,Male,0,0,6,(F2),Aggravated Battery / Pregnant,1
24,Male,0,0,0,(F3),Failure To Return Hired Vehicle,0
33,Male,0,0,1,(M1),Driving Under The Influence,1
33,Male,0,0,0,(F3),Possession of Cocaine,0
40,Male,0,0,6,(M1),Viol Injunct Domestic Violence,0
58,Male,0,0,2,(F2),Agg Fleeing/Eluding High Speed,0
21,Female,0,0,0,(M1),Battery,0
44,Male,0,0,2,(F2),Sexual Battery / Vict 12 Yrs +,0
56,Male,0,0,13,(F3),Burglary Structure Unoccup,0
27,Male,0,0,1,(F3),Obstruct Officer W/Violence,0
21,Male,0,0,1,(F3),Attempted Robbery  No Weapon,1
23,Male,0,0,4,(M1),Possess Cannabis/20 Grams Or Less,1
62,Male,0,0,0,(F3),False Imprisonment,0
27,Male,0,1,4,(M1),Possess Cannabis/20 Grams Or Less,1
57,Male,0,0,6,(M1),Battery,0
37,Male,0,0,5,(F3),Battery on Law Enforc Officer,0
43,Male,0,0,2,(F3),Grand Theft in the 3rd Degree,1
32,Female,0,0,5,(F2),Aggrav Battery w/Deadly Weapon,0
33,Female,0,0,2,(F3),arrest case no charge,0
23,Male,0,0,0,(F3),Burglary Conveyance Unoccup,0
27,Male,0,0,0,(M1),Battery,0
44,Male,0,0,0,(M1),Battery,1
28,Male,0,0,3,(M1),Battery,1
42,Female,0,0,0,(F3),Possession of Cocaine,0
48,Male,0,0,5,(F3),arrest case no charge,0
24,Male,1,0,9,(F3),Resist Officer w/Violence,1
27,Male,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0
20,Male,0,0,0,(F3),Grand Theft (Motor Vehicle),1
24,Male,0,0,1,(F3),Crimin Mischief Damage $1000+,0
31,Male,0,2,6,(F3),Felony Petit Theft,0
22,Male,1,0,2,(F1),arrest case no charge,0
51,Female,0,0,0,(M1),Battery on Law Enforc Officer,0
56,Male,0,0,0,(M1),Battery On Parking Enfor Speci,0
20,Male,0,0,0,(M1),Battery,0
54,Male,0,0,1,(F3),Possession of Cocaine,0
29,Male,0,0,7,(F3),arrest case no charge,0
42,Male,0,0,0,(F2),Tampering With A Victim,0
20,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,1
53,Male,0,0,6,(F3),arrest case no charge,0
48,Male,0,0,8,(M1),arrest case no charge,0
24,Male,0,0,0,(F3),Felony Battery (Dom Strang),0
27,Male,0,0,8,(F3),arrest case no charge,0
24,Male,1,0,2,(F3),Burglary Structure Unoccup,1
24,Male,1,0,2,(F3),Burglary Structure Unoccup,1
22,Female,0,0,0,(F3),Grand Theft in the 3rd Degree,0
53,Male,0,0,36,(F3),Corrupt Public Servant,1
36,Male,0,0,0,(M1),Driving Under The Influence,0
28,Male,0,0,2,(M1),Battery,1
46,Male,0,0,1,(F3),Possession of Cocaine,0
21,Male,0,0,0,(F3),Tampering With Physical Evidence,0
45,Male,0,0,1,(F2),Crim Use of Personal ID Info,0
21,Male,1,0,3,(F3),Grand Theft in the 3rd Degree,1
36,Female,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,0
25,Female,0,0,2,(M2),Petit Theft,1
23,Female,0,0,1,(M2),Operating W/O Valid License,1
54,Male,0,0,2,(F3),Felony Battery,0
28,Male,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,0
21,Female,0,0,0,(F3),Robbery Sudd Snatch No Weapon,1
36,Male,0,0,0,(M1),Viol Injunct Domestic Violence,0
24,Male,0,0,0,(F3),Grand Theft in the 3rd Degree,0
